Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2013,3,England,45 to 49,Any,37,82,'13
2013,3,England,50 to 54,Any,36,80,'13
2013,3,England,55 to 59,Any,33,73,'13
2013,3,England,60 to 64,Any,18,47,'13
2013,2,England,16 to 19,Any,14,31,'13
2013,2,England,20 to 24,Any,33,60,'13
2013,2,England,25 to 29,Any,31,77,'13
2013,2,England,30 to 34,Any,46,81,'13
2013,2,England,35 to 39,Any,41,81,'13
2013,2,England,40 to 44,Any,41,81,'13
2013,2,England,45 to 49,Any,34,82,'13
2013,2,England,50 to 54,Any,36,81,'13
2013,2,England,55 to 59,Any,29,73,'13
2013,2,England,60 to 64,Any,16,46,'13
2013,1,England,16 to 19,Any,16,32,'13
2013,1,England,20 to 24,Any,35,61,'13
2013,1,England,25 to 29,Any,38,77,'13
2013,1,England,30 to 34,Any,34,80,'13
2013,1,England,35 to 39,Any,43,81,'13
2013,1,England,40 to 44,Any,39,81,'13
2013,1,England,45 to 49,Any,32,82,'13
2013,1,England,50 to 54,Any,35,81,'13
2013,1,England,55 to 59,Any,30,72,'13
2013,1,England,60 to 64,Any,14,46,'13
2013,4,England,All,Any,35,72,'13
2013,3,England,All,Any,35,72,'13
2013,2,England,All,Any,33,71,'13
2013,1,England,All,Any,32,71,'13
2013,4,England,All,Female,37,67,'13
2013,4,England,All,Male,33,77,'13
2013,3,England,All,Female,35,66,'13
2013,3,England,All,Male,34,77,'13
2013,2,England,All,Female,34,66,'13
2013,2,England,All,Male,31,76,'13
2013,1,England,All,Female,34,66,'13
2013,1,England,All,Male,29,76,'13
2013,4,London,All,Any,31,71,'13
2013,3,London,All,Any,30,70,'13
2013,2,London,All,Any,28,69,'13
2013,1,London,All,Any,29,70,'13
2013,4,Merseyside,All,Any,21,66,'13
2013,3,Merseyside,All,Any,21,65,'13
2013,2,Merseyside,All,Any,22,69,'13
2013,1,Merseyside,All,Any,25,68,'13
2013,4,North East,All,Any,33,67,'13
2013,3,North East,All,Any,29,68,'13
2013,2,North East,All,Any,29,66,'13
2013,1,North East,All,Any,27,66,'13
2013,4,North West,All,Any,29,69,'13
2013,3,North West,All,Any,29,69,'13
2013,2,North West,All,Any,28,69,'13
2013,1,North West,All,Any,24,68,'13
2013,4,South East,All,Any,45,76,'13
2013,3,South East,All,Any,43,65,'13
2013,2,South East,All,Any,40,75,'13
2013,1,South East,All,Any,39,74,'13
2013,4,South West,All,Any,39,75,'13
2013,3,South West,All,Any,40,75,'13
2013,2,South West,All,Any,34,73,'13
2013,1,South West,All,Any,37,74,'13
2013,4,West Midlands,All,Any,31,69,'13
2013,3,West Midlands,All,Any,31,68,'13
2013,2,West Midlands,All,Any,32,68,'13
2013,1,West Midlands,All,Any,31,69,'13
2013,4,Yorkshire,All,Any,34,71,'13
2013,3,Yorkshire,All,Any,34,71,'13
2013,2,Yorkshire,All,Any,3,70,'13
2013,1,Yorkshire,All,Any,31,70,'13
2014,1,East Midlands,All,Any,36,72,'14
2014,1,Eastern,All,Any,39,76,'14
2014,1,England,16 to 19,Any,15,32,'14
2014,1,England,20 to 24,Any,34,63,'14
2014,1,England,25 to 29,Any,40,79,'14
2014,1,England,30 to 34,Any,47,81,'14
2014,1,England,35 to 39,Any,43,81,'14
2014,1,England,40 to 44,Any,43,83,'14
2014,1,England,45 to 49,Any,44,83,'14
2014,1,England,50 to 54,Any,34,81,'14
2014,1,England,55 to 59,Any,29,72,'14
2014,1,England,60 to 64,Any,18,48,'14
2014,1,England,All,Any,36,72,'14
2014,1,England,All,Female,37,67,'14
2014,1,England,All,Male,34,77,'14
2014,1,London,All,Any,32,71,'14
2014,1,Merseyside,All,Any,17,68,'14
2014,1,North East,All,Any,33,68,'14
2014,1,North West,All,Any,28,68,'14
2014,1,South East,All,Any,44,75,'14
2014,1,South West,All,Any,43,75,'14
2014,1,West Midlands,All,Any,33,70,'14
2014,1,Yorkshire,All,Any,36,71,'14
