Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2007,2,South West ,All,Any,35,75,'07
2007,1,South West ,All,Any,35,75,'07
2007,4,West Midlands ,All,Any,22,71,'07
2007,3,West Midlands ,All,Any,23,71,'07
2007,2,West Midlands ,All,Any,26,70,'07
2007,1,West Midlands ,All,Any,26,70,'07
2007,4,Yorkshire,All,Any,23,72,'07
2007,3,Yorkshire,All,Any,24,71,'07
2007,2,Yorkshire,All,Any,21,70,'07
2007,1,Yorkshire,All,Any,21,70,'07
2008,4,East Midlands ,All,Any,33,74,'08
2008,3,East Midlands ,All,Any,32,74,'08
2008,2,East Midlands ,All,Any,30,72,'08
2008,1,East Midlands ,All,Any,32,73,'08
2008,4,Eastern ,All,Any,31,75,'08
2008,3,Eastern ,All,Any,32,75,'08
2008,2,Eastern ,All,Any,30,75,'08
2008,1,Eastern ,All,Any,30,75,'08
2008,4,England,16 to 19,Any,20,43,'08
2008,4,England,20 to 24,Any,38,67,'08
2008,4,England,25 to 29,Any,35,79,'08
2008,4,England,30 to 34,Any,31,81,'08
2008,4,England,35 to 39,Any,30,81,'08
2008,4,England,40 to 44,Any,25,82,'08
2008,4,England,45 to 49,Any,28,83,'08
2008,4,England,50 to 54,Any,27,80,'08
2008,4,England,55 to 59,Any,23,71,'08
2008,4,England,60 to 64,Any,16,46,'08
2008,3,England,16 to 19,Any,23,45,'08
2008,3,England,20 to 24,Any,37,68,'08
2008,3,England,25 to 29,Any,35,79,'08
2008,3,England,30 to 34,Any,31,80,'08
2008,3,England,35 to 39,Any,27,80,'08
2008,3,England,40 to 44,Any,29,82,'08
2008,3,England,45 to 49,Any,30,83,'08
2008,3,England,50 to 54,Any,27,80,'08
2008,3,England,55 to 59,Any,24,70,'08
2008,3,England,60 to 64,Any,16,46,'08
2008,2,England,16 to 19,Any,25,43,'08
2008,2,England,20 to 24,Any,37,66,'08
2008,2,England,25 to 29,Any,38,80,'08
2008,2,England,30 to 34,Any,32,80,'08
2008,2,England,35 to 39,Any,29,81,'08
2008,2,England,40 to 44,Any,27,82,'08
